algorithm,strat,bench,region,num_threads,size,obs,min,mean,max,stddev,ci,speedup
3. Pthreads,pth,1,full,1,8192,10,9.89321726878,9.93452044308,10.14228953978,0.07450688924329966,0.04617984839101434,0.9546920192555914
3. Pthreads,pth,1,full,2,16,10,0.002432880780000001,0.0027666884800000005,0.0030705167800000005,0.00023507682145113048,0.00014570212345606692,0.9483574890946882
3. Pthreads,pth,1,full,2,32,10,0.0025253317800000004,0.0028248880800000008,0.0032929587800000003,0.00023213568778724124,0.00014387918992501327,0.9992291942412105
3. Pthreads,pth,1,full,2,64,10,0.0029458327800000006,0.0033625408800000015,0.003994159780000001,0.000389781155061957,0.00024158886284538248,0.9575398649131067
3. Pthreads,pth,1,full,2,128,10,0.00442995478,0.004538041680000001,0.0046189257800000015,6.834754122611564e-05,4.2362244938369424e-05,1.1288243919346286
3. Pthreads,pth,1,full,2,256,10,0.008122671780000002,0.008427776380000002,0.008759322780000002,0.000215928360807828,0.00013383378458955688,1.59860385854234
3. Pthreads,pth,1,full,2,512,10,0.023116092780000003,0.024264715880000003,0.02606097078,0.001133862622201203,0.0007027753342178134,2.0087708333801433
3. Pthreads,pth,1,full,2,1024,10,0.08277210778,0.08446380688000002,0.08584830178000001,0.0010244977978282784,0.0006349903137969568,2.1008681954402575
3. Pthreads,pth,1,full,2,2048,10,0.32084276278,0.32252166958000006,0.32721647278000004,0.002213363343897443,0.0013718568134235233,1.9324248136617252
3. Pthreads,pth,1,full,2,4096,10,1.2719710717800001,1.2961375406799998,1.3207572517800001,0.01802265027116055,0.011170554368585644,1.8542164848331864
3. Pthreads,pth,1,full,2,8192,10,5.08949840978,5.12722634768,5.168127789780001,0.030363874222814596,0.018819724221669946,1.8498124988048488
3. Pthreads,pth,1,full,4,16,10,0.0025032207800000004,0.0028288416800000007,0.0033051257800000007,0.0002722032004009954,0.0001687132915322632,0.927520885509577
3. Pthreads,pth,1,full,4,32,10,0.0026848777800000004,0.0028097748800000005,0.003092359780000001,0.00012674866237247302,7.855963484143238e-05,1.0046038421412609
3. Pthreads,pth,1,full,4,64,10,0.002892510780000001,0.0031401755800000005,0.0034954817800000007,0.000172620939876173,0.00010699156700214739,1.0253461495933294
3. Pthreads,pth,1,full,4,128,10,0.004512534780000001,0.004897336380000001,0.005343227780000001,0.0002628336038126699,0.0001629059554009571,1.0460078178252483
3. Pthreads,pth,1,full,4,256,10,0.008894992780000001,0.009226476580000002,0.010248850780000002,0.000421017471987618,0.00026094933265657407,1.460218938744653
3. Pthreads,pth,1,full,4,512,10,0.025573339780000003,0.02589302458,0.026578094780000002,0.000327299212063688,0.0002028621533539438,1.8824472741453677
3. Pthreads,pth,1,full,4,1024,10,0.08539980178,0.08711145428,0.08859380878,0.0011863834441791996,0.0007353280769366144,2.0370148450241214
3. Pthreads,pth,1,full,4,2048,10,0.30642817678,0.31430860198,0.32330991178,0.005434307365635432,0.0033682186010441303,1.982920204263638
3. Pthreads,pth,1,full,4,4096,10,1.23009896278,1.28379280318,1.31496824978,0.02603139322632816,0.016134424679484498,1.872046321327626
3. Pthreads,pth,1,full,4,8192,10,4.85977594578,4.92929780268,4.96371519778,0.035925489932340494,0.022266849351754298,1.9240889396017908
